Symbol,Exchange,Type
AMBA,NASDAQ,Stock
EQIX,NASDAQ,Stock
FAST,NASDAQ,Stock
FFIV,NASDAQ,Stock
FIVN,NASDAQ,Stock
HQY,NASDAQ,Stock
IUSG,NASDAQ,Stock
LOPE,NASDAQ,Stock
MGNI,NASDAQ,Stock
NWL,NASDAQ,Stock
PENN,NASDAQ,Stock
PTCT,NASDAQ,Stock
SHV,NASDAQ,Stock
SKYY,NASDAQ,Stock
URBN,NASDAQ,Stock
Z,NASDAQ,Stock
ZBRA,NASDAQ,Stock
ZG,NASDAQ,Stock
CARG,NASDAQ,Stock
UPWK,NASDAQ,Stock
FOXA,NASDAQ,Stock
CRSR,NASDAQ,Stock
